site,device_name,hostname,protocol,port,username,password
AIN/DC1/Rack10,c8k1,192.168.1.1,ssh,22,user,password
AIN/DC2/Rack20,c8k2,192.168.1.2,ssh,22,user,password
AIN/DC1/Rack10,n9k1,192.168.1.3,ssh,22,user,password
AIN/DC2/Rack20,n9k2,192.168.1.4,ssh,22,user,password
AIN/DC1/Rack10,xrv1,192.168.1.5,ssh,22,user,password
AIN/DC2/Rack20,xrv2,192.168.1.6,ssh,22,user,password
AIN-admin/DC1/Rack10,c8k1,192.168.1.1,ssh,22,admin,password
AIN-admin/DC2/Rack20,c8k2,192.168.1.2,ssh,22,admin,password
AIN-admin/DC1/Rack10,n9k1,192.168.1.3,ssh,22,admin,password
AIN-admin/DC2/Rack20,n9k2,192.168.1.4,ssh,22,admin,password
AIN-admin/DC1/Rack10,xrv1,192.168.1.5,ssh,22,admin,password
AIN-admin/DC2/Rack20,xrv2,192.168.1.6,ssh,22,admin,password
